/home/jonas-petersen/dev/Othello_with_RL/rl_agent/rl_agent.py:62: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss = F.mse_loss(q_vals[0, action_idx], torch.tensor(target_q, dtype=torch.float32))
Episode 1: Black 32, Red 32
/home/jonas-petersen/dev/Othello_with_RL/rl_agent/rl_agent.py:62: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss = F.mse_loss(q_vals[0, action_idx], torch.tensor(target_q, dtype=torch.float32))
Episode 2: Black 21, Red 43
Episode 3: Black 43, Red 21
Episode 4: Black 37, Red 27
Episode 5: Black 28, Red 36
Episode 6: Black 39, Red 25
Episode 7: Black 51, Red 13
Episode 8: Black 26, Red 38
Episode 9: Black 26, Red 38
Episode 10: Black 42, Red 22
Episode 11: Black 31, Red 33
Episode 12: Black 51, Red 13
Episode 13: Black 35, Red 29
Episode 14: Black 21, Red 43
Episode 15: Black 55, Red 9
Episode 16: Black 49, Red 15
Episode 17: Black 37, Red 27
Episode 18: Black 40, Red 24
Episode 19: Black 48, Red 16
Episode 20: Black 23, Red 41
Episode 21: Black 20, Red 44
Episode 22: Black 56, Red 8
Episode 23: Black 38, Red 26
Episode 24: Black 44, Red 20
Episode 25: Black 36, Red 28
Episode 26: Black 23, Red 41
Episode 27: Black 40, Red 24
Episode 28: Black 41, Red 23
Episode 29: Black 51, Red 13
Episode 30: Black 54, Red 10
Episode 31: Black 50, Red 14
Episode 32: Black 29, Red 35
Episode 33: Black 39, Red 25
Episode 34: Black 35, Red 29
Episode 35: Black 33, Red 31
Episode 36: Black 39, Red 25
Episode 37: Black 26, Red 38
Episode 38: Black 45, Red 19
Episode 39: Black 44, Red 20
Episode 40: Black 45, Red 19
Episode 41: Black 42, Red 22
Episode 42: Black 35, Red 29
Episode 43: Black 42, Red 22
Episode 44: Black 46, Red 18
Episode 45: Black 35, Red 29
Episode 46: Black 40, Red 24
Episode 47: Black 49, Red 15
Episode 48: Black 43, Red 21
Episode 49: Black 47, Red 17
Episode 50: Black 32, Red 32
Episode 51: Black 19, Red 45
Episode 52: Black 52, Red 12
Episode 53: Black 34, Red 30
Episode 54: Black 17, Red 0
Episode 55: Black 32, Red 32
Episode 56: Black 40, Red 24
Episode 57: Black 34, Red 30
Episode 58: Black 37, Red 27
Episode 59: Black 32, Red 32
Episode 60: Black 40, Red 24
Episode 61: Black 47, Red 17
Episode 62: Black 39, Red 25
Episode 63: Black 47, Red 17
Episode 64: Black 49, Red 15
Episode 65: Black 29, Red 35
Episode 66: Black 54, Red 10
Episode 67: Black 49, Red 15
Episode 68: Black 36, Red 28
Episode 69: Black 37, Red 27
Episode 70: Black 52, Red 12
Episode 71: Black 38, Red 26
Episode 72: Black 50, Red 14
Episode 73: Black 51, Red 13
Episode 74: Black 42, Red 22
Episode 75: Black 23, Red 41
Episode 76: Black 31, Red 33
Episode 77: Black 44, Red 20
Episode 78: Black 41, Red 23
Episode 79: Black 31, Red 33
Episode 80: Black 33, Red 31
Episode 81: Black 31, Red 33
Episode 82: Black 51, Red 13
Episode 83: Black 26, Red 38
Episode 84: Black 39, Red 25
Episode 85: Black 46, Red 18
Episode 86: Black 32, Red 32
Episode 87: Black 46, Red 18
Episode 88: Black 38, Red 26
Episode 89: Black 48, Red 16
Episode 90: Black 25, Red 39
Episode 91: Black 44, Red 20
Episode 92: Black 35, Red 29
Episode 93: Black 43, Red 21
Episode 94: Black 45, Red 19
Episode 95: Black 35, Red 29
Episode 96: Black 43, Red 21
Episode 97: Black 40, Red 24
Episode 98: Black 27, Red 37
Episode 99: Black 41, Red 23
Episode 100: Black 25, Red 39
Model saved to rl_agent/models/oppGreedyGreta_100Episodes.pth
Testing trained agent vs GreedyGreta...
Test results over 20 games: Wins: 0, Losses: 20, Draws: 0
