/home/jonas-petersen/dev/Othello_with_RL/rl_agent/rl_agent.py:62: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss = F.mse_loss(q_vals[0, action_idx], torch.tensor(target_q, dtype=torch.float32))
Episode 1: Black 51, Red 13
/home/jonas-petersen/dev/Othello_with_RL/rl_agent/rl_agent.py:62: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss = F.mse_loss(q_vals[0, action_idx], torch.tensor(target_q, dtype=torch.float32))
Episode 2: Black 42, Red 22
Episode 3: Black 39, Red 25
Episode 4: Black 33, Red 31
Episode 5: Black 32, Red 32
Episode 6: Black 30, Red 34
Episode 7: Black 37, Red 27
Episode 8: Black 19, Red 45
Episode 9: Black 37, Red 27
Episode 10: Black 22, Red 42
Episode 11: Black 47, Red 17
Episode 12: Black 44, Red 20
Episode 13: Black 35, Red 29
Episode 14: Black 37, Red 27
Episode 15: Black 33, Red 31
Episode 16: Black 37, Red 27
Episode 17: Black 35, Red 29
Episode 18: Black 33, Red 31
Episode 19: Black 15, Red 49
[34m[1mwandb[0m: Network error (ConnectionError), entering retry loop.
Episode 20: Black 43, Red 21
Episode 21: Black 25, Red 39
Episode 22: Black 35, Red 29
Episode 23: Black 39, Red 25
Episode 24: Black 30, Red 34
Episode 25: Black 39, Red 25
Episode 26: Black 32, Red 32
Episode 27: Black 22, Red 42
Episode 28: Black 23, Red 41
Episode 29: Black 36, Red 28
Episode 30: Black 21, Red 43
Episode 31: Black 12, Red 52
Episode 32: Black 21, Red 43
Episode 33: Black 35, Red 29
Episode 34: Black 34, Red 30
Episode 35: Black 36, Red 28
Episode 36: Black 24, Red 40
Episode 37: Black 40, Red 24
Episode 38: Black 48, Red 16
Episode 39: Black 41, Red 23
Episode 40: Black 32, Red 32
Episode 41: Black 38, Red 26
Episode 42: Black 44, Red 20
Episode 43: Black 18, Red 46
Episode 44: Black 41, Red 23
Episode 45: Black 39, Red 25
Episode 46: Black 46, Red 18
Episode 47: Black 41, Red 23
Episode 48: Black 49, Red 15
Episode 49: Black 43, Red 21
Episode 50: Black 32, Red 32
Episode 51: Black 32, Red 32
Episode 52: Black 24, Red 40
Episode 53: Black 32, Red 32
Episode 54: Black 27, Red 37
Episode 55: Black 35, Red 29
Episode 56: Black 38, Red 26
Episode 57: Black 38, Red 26
Episode 58: Black 47, Red 17
Episode 59: Black 10, Red 54
Episode 60: Black 12, Red 52
Episode 61: Black 39, Red 25
Episode 62: Black 30, Red 34
Episode 63: Black 34, Red 30
Episode 64: Black 36, Red 28
Episode 65: Black 29, Red 35
Episode 66: Black 50, Red 14
Episode 67: Black 38, Red 26
Episode 68: Black 40, Red 24
Episode 69: Black 35, Red 29
Episode 70: Black 46, Red 18
Episode 71: Black 41, Red 23
Episode 72: Black 41, Red 23
Episode 73: Black 39, Red 25
Episode 74: Black 24, Red 40
Episode 75: Black 23, Red 41
Episode 76: Black 41, Red 23
Episode 77: Black 31, Red 33
Episode 78: Black 24, Red 40
Episode 79: Black 33, Red 31
Episode 80: Black 43, Red 21
Episode 81: Black 31, Red 33
Episode 82: Black 48, Red 16
Episode 83: Black 46, Red 18
Episode 84: Black 13, Red 51
Episode 85: Black 41, Red 23
Episode 86: Black 22, Red 42
Episode 87: Black 22, Red 42
Episode 88: Black 43, Red 21
Episode 89: Black 16, Red 48
Episode 90: Black 23, Red 41
Episode 91: Black 29, Red 35
Episode 92: Black 48, Red 16
Episode 93: Black 40, Red 24
Episode 94: Black 38, Red 26
Episode 95: Black 38, Red 26
Episode 96: Black 9, Red 55
Episode 97: Black 46, Red 18
Episode 98: Black 20, Red 44
Episode 99: Black 46, Red 18
Episode 100: Black 46, Red 18
Model saved to rl_agent/models/oppGreedyGreta_100Episodes.pth
Testing trained agent vs GreedyGreta...
Test results over 20 games: Wins: 20, Losses: 0, Draws: 0
