/home/jonas-petersen/dev/Othello_with_RL/rl_agent/rl_agent.py:62: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss = F.mse_loss(q_vals[0, action_idx], torch.tensor(target_q, dtype=torch.float32))
Episode 1: Black 42, Red 22
/home/jonas-petersen/dev/Othello_with_RL/rl_agent/rl_agent.py:62: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss = F.mse_loss(q_vals[0, action_idx], torch.tensor(target_q, dtype=torch.float32))
Episode 2: Black 42, Red 22
Episode 3: Black 24, Red 40
Episode 4: Black 41, Red 23
Episode 5: Black 20, Red 44
Episode 6: Black 24, Red 40
Episode 7: Black 19, Red 45
Episode 8: Black 32, Red 32
Episode 9: Black 22, Red 42
Episode 10: Black 29, Red 0
Episode 11: Black 44, Red 20
Episode 12: Black 26, Red 38
Episode 13: Black 28, Red 36
Episode 14: Black 34, Red 30
Episode 15: Black 21, Red 43
Episode 16: Black 31, Red 33
Episode 17: Black 28, Red 36
Episode 18: Black 41, Red 23
Episode 19: Black 33, Red 31
Episode 20: Black 45, Red 19
Episode 21: Black 41, Red 23
Episode 22: Black 23, Red 41
Episode 23: Black 37, Red 27
Episode 24: Black 29, Red 35
Episode 25: Black 37, Red 27
Episode 26: Black 51, Red 13
Episode 27: Black 49, Red 15
Episode 28: Black 32, Red 32
Episode 29: Black 29, Red 35
Episode 30: Black 49, Red 15
Episode 31: Black 31, Red 33
Episode 32: Black 27, Red 37
Episode 33: Black 52, Red 12
Episode 34: Black 12, Red 52
Episode 35: Black 45, Red 18
Episode 36: Black 45, Red 19
Episode 37: Black 50, Red 14
Episode 38: Black 42, Red 22
Episode 39: Black 23, Red 41
Episode 40: Black 59, Red 5
Episode 41: Black 45, Red 19
Episode 42: Black 46, Red 18
Episode 43: Black 30, Red 34
Episode 44: Black 24, Red 40
Episode 45: Black 32, Red 32
Episode 46: Black 17, Red 47
Episode 47: Black 42, Red 22
Episode 48: Black 47, Red 16
Episode 49: Black 45, Red 19
Episode 50: Black 23, Red 41
Episode 51: Black 35, Red 29
Episode 52: Black 58, Red 6
Episode 53: Black 51, Red 13
Episode 54: Black 41, Red 23
Episode 55: Black 45, Red 19
Episode 56: Black 13, Red 51
Episode 57: Black 44, Red 20
Episode 58: Black 46, Red 18
Episode 59: Black 46, Red 18
Episode 60: Black 21, Red 43
Episode 61: Black 30, Red 34
Episode 62: Black 42, Red 22
Episode 63: Black 42, Red 22
Episode 64: Black 42, Red 22
Episode 65: Black 24, Red 40
Episode 66: Black 19, Red 45
Episode 67: Black 45, Red 19
Episode 68: Black 27, Red 37
Episode 69: Black 52, Red 1
Episode 70: Black 28, Red 36
Episode 71: Black 30, Red 34
Episode 72: Black 30, Red 34
Episode 73: Black 39, Red 25
Episode 74: Black 15, Red 49
Episode 75: Black 47, Red 16
Episode 76: Black 31, Red 33
Episode 77: Black 23, Red 41
Episode 78: Black 30, Red 34
Episode 79: Black 37, Red 27
Episode 80: Black 53, Red 11
Episode 81: Black 11, Red 53
Episode 82: Black 28, Red 36
Episode 83: Black 32, Red 32
Episode 84: Black 48, Red 16
Episode 85: Black 32, Red 32
Episode 86: Black 28, Red 36
Episode 87: Black 32, Red 32
Episode 88: Black 44, Red 20
Episode 89: Black 37, Red 27
Episode 90: Black 52, Red 12
Episode 91: Black 32, Red 32
Episode 92: Black 30, Red 34
Episode 93: Black 23, Red 41
Episode 94: Black 23, Red 41
Episode 95: Black 33, Red 31
Episode 96: Black 26, Red 38
Episode 97: Black 25, Red 39
Episode 98: Black 33, Red 31
Episode 99: Black 34, Red 30
Episode 100: Black 31, Red 33
Episode 101: Black 24, Red 40
Episode 102: Black 14, Red 50
Episode 103: Black 47, Red 17
Episode 104: Black 22, Red 42
Episode 105: Black 20, Red 44
Episode 106: Black 38, Red 26
Episode 107: Black 32, Red 32
Episode 108: Black 25, Red 39
Episode 109: Black 37, Red 27
Episode 110: Black 27, Red 37
Episode 111: Black 22, Red 42
Episode 112: Black 19, Red 45
Episode 113: Black 19, Red 45
Episode 114: Black 19, Red 45
Episode 115: Black 29, Red 35
Model saved to rl_agent/models/oppGreedyGreta_115Episodes.pth
Testing trained agent vs GreedyGreta...
Test results over 20 games: Wins: 0, Losses: 20, Draws: 0
