/home/jonas-petersen/dev/Othello_with_RL/rl_agent/rl_agent.py:63: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss = F.mse_loss(q_vals[0, action_idx], torch.tensor(target_q, dtype=torch.float32, device=self.device))
Episode 1: Black 27, Red 37
/home/jonas-petersen/dev/Othello_with_RL/rl_agent/rl_agent.py:63: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss = F.mse_loss(q_vals[0, action_idx], torch.tensor(target_q, dtype=torch.float32, device=self.device))
Episode 2: Black 19, Red 45
Episode 3: Black 21, Red 43
Episode 4: Black 33, Red 31
Episode 5: Black 23, Red 41
Episode 6: Black 12, Red 52
Episode 7: Black 12, Red 52
Episode 8: Black 43, Red 21
Episode 9: Black 16, Red 48
Episode 10: Black 32, Red 32
Episode 11: Black 32, Red 32
Episode 12: Black 13, Red 51
Episode 13: Black 26, Red 38
Episode 14: Black 25, Red 39
Episode 15: Black 25, Red 39
Episode 16: Black 25, Red 39
Episode 17: Black 37, Red 27
Episode 18: Black 28, Red 36
Episode 19: Black 30, Red 34
Episode 20: Black 24, Red 40
Episode 21: Black 29, Red 35
Episode 22: Black 27, Red 37
Episode 23: Black 29, Red 35
Episode 24: Black 29, Red 35
Episode 25: Black 24, Red 40
Episode 26: Black 23, Red 41
Episode 27: Black 31, Red 33
Episode 28: Black 28, Red 36
Episode 29: Black 18, Red 46
Episode 30: Black 38, Red 26
Episode 31: Black 13, Red 51
Episode 32: Black 33, Red 31
Episode 33: Black 26, Red 38
Episode 34: Black 38, Red 26
Episode 35: Black 30, Red 34
Episode 36: Black 28, Red 36
Episode 37: Black 36, Red 28
Episode 38: Black 23, Red 41
Episode 39: Black 26, Red 38
Episode 40: Black 19, Red 45
Episode 41: Black 29, Red 35
Episode 42: Black 27, Red 37
Episode 43: Black 36, Red 28
Episode 44: Black 27, Red 37
Episode 45: Black 39, Red 25
Episode 46: Black 34, Red 30
Episode 47: Black 32, Red 32
Episode 48: Black 35, Red 29
Episode 49: Black 36, Red 28
Episode 50: Black 32, Red 32
Episode 51: Black 36, Red 28
Episode 52: Black 36, Red 28
Episode 53: Black 33, Red 31
Episode 54: Black 34, Red 30
Episode 55: Black 33, Red 31
Episode 56: Black 25, Red 39
Episode 57: Black 29, Red 35
Episode 58: Black 39, Red 25
Episode 59: Black 34, Red 30
Episode 60: Black 30, Red 34
Episode 61: Black 45, Red 19
Episode 62: Black 39, Red 25
Episode 63: Black 33, Red 31
Episode 64: Black 27, Red 37
Episode 65: Black 30, Red 34
Episode 66: Black 36, Red 28
Episode 67: Black 30, Red 34
Episode 68: Black 57, Red 7
Episode 69: Black 23, Red 41
Episode 70: Black 36, Red 28
Episode 71: Black 34, Red 30
Episode 72: Black 27, Red 37
Episode 73: Black 35, Red 29
Episode 74: Black 31, Red 33
Episode 75: Black 29, Red 35
Episode 76: Black 24, Red 40
Episode 77: Black 36, Red 28
Episode 78: Black 33, Red 31
Episode 79: Black 27, Red 37
Episode 80: Black 41, Red 23
Episode 81: Black 35, Red 29
Episode 82: Black 38, Red 26
Episode 83: Black 32, Red 32
Episode 84: Black 33, Red 31
Episode 85: Black 28, Red 36
Episode 86: Black 24, Red 40
Episode 87: Black 32, Red 32
Episode 88: Black 39, Red 25
Episode 89: Black 38, Red 26
Episode 90: Black 24, Red 40
Episode 91: Black 25, Red 39
Episode 92: Black 34, Red 30
Episode 93: Black 30, Red 34
Episode 94: Black 33, Red 31
Episode 95: Black 33, Red 31
Episode 96: Black 28, Red 36
Episode 97: Black 32, Red 32
Episode 98: Black 13, Red 51
Episode 99: Black 42, Red 22
Episode 100: Black 37, Red 27
Episode 101: Black 32, Red 32
Episode 102: Black 41, Red 23
Episode 103: Black 24, Red 40
Episode 104: Black 20, Red 44
Episode 105: Black 35, Red 29
Episode 106: Black 36, Red 28
Episode 107: Black 21, Red 43
Episode 108: Black 35, Red 29
Episode 109: Black 33, Red 31
Episode 110: Black 42, Red 22
Episode 111: Black 31, Red 33
Episode 112: Black 33, Red 31
Episode 113: Black 29, Red 35
Episode 114: Black 37, Red 27
Episode 115: Black 35, Red 29
Model saved to rl_agent/models/oppGreedyGreta_115Episodes.pth
Testing trained agent vs GreedyGreta...
Test results over 100 games: Wins: 0, Losses: 100, Draws: 0
