/home/jonas-petersen/dev/Othello_with_RL/rl_agent/rl_agent.py:63: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss = F.mse_loss(q_vals[0, action_idx], torch.tensor(target_q, dtype=torch.float32, device=self.device))
Episode 1: Black 41, Red 23
/home/jonas-petersen/dev/Othello_with_RL/rl_agent/rl_agent.py:63: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss = F.mse_loss(q_vals[0, action_idx], torch.tensor(target_q, dtype=torch.float32, device=self.device))
Episode 2: Black 42, Red 22
Episode 3: Black 37, Red 27
Episode 4: Black 55, Red 9
Episode 5: Black 38, Red 26
Episode 6: Black 18, Red 46
Episode 7: Black 19, Red 45
Episode 8: Black 23, Red 41
Episode 9: Black 11, Red 53
Episode 10: Black 36, Red 28
Episode 11: Black 10, Red 54
Episode 12: Black 19, Red 45
Episode 13: Black 47, Red 17
Episode 14: Black 42, Red 22
Episode 15: Black 43, Red 21
Episode 16: Black 29, Red 35
Episode 17: Black 45, Red 19
Episode 18: Black 27, Red 0
Episode 19: Black 43, Red 21
Episode 20: Black 43, Red 21
Episode 21: Black 34, Red 30
Episode 22: Black 40, Red 24
Episode 23: Black 31, Red 33
Episode 24: Black 32, Red 32
Episode 25: Black 46, Red 18
Episode 26: Black 47, Red 17
Episode 27: Black 29, Red 35
Episode 28: Black 23, Red 41
Episode 29: Black 25, Red 39
Episode 30: Black 34, Red 30
Episode 31: Black 44, Red 20
Episode 32: Black 25, Red 39
Episode 33: Black 24, Red 40
Episode 34: Black 41, Red 23
Episode 35: Black 37, Red 27
Episode 36: Black 28, Red 36
Episode 37: Black 50, Red 14
Episode 38: Black 47, Red 17
Episode 39: Black 34, Red 30
Episode 40: Black 47, Red 17
Episode 41: Black 51, Red 13
Episode 42: Black 0, Red 43
Episode 43: Black 48, Red 16
Episode 44: Black 48, Red 16
Episode 45: Black 38, Red 26
Episode 46: Black 48, Red 16
Episode 47: Black 48, Red 16
Episode 48: Black 45, Red 19
Episode 49: Black 43, Red 21
Episode 50: Black 24, Red 40
Episode 51: Black 41, Red 23
Episode 52: Black 58, Red 6
Episode 53: Black 43, Red 21
Episode 54: Black 44, Red 20
Episode 55: Black 45, Red 19
Episode 56: Black 44, Red 20
Episode 57: Black 49, Red 15
Episode 58: Black 21, Red 43
Episode 59: Black 0, Red 40
Episode 60: Black 33, Red 31
Episode 61: Black 43, Red 21
Episode 62: Black 12, Red 52
Episode 63: Black 45, Red 19
Episode 64: Black 45, Red 19
Episode 65: Black 46, Red 18
Episode 66: Black 46, Red 18
Episode 67: Black 44, Red 20
Episode 68: Black 47, Red 17
Episode 69: Black 41, Red 23
Episode 70: Black 0, Red 43
Episode 71: Black 41, Red 23
Episode 72: Black 38, Red 26
Episode 73: Black 24, Red 40
Episode 74: Black 39, Red 25
Episode 75: Black 40, Red 24
Episode 76: Black 45, Red 19
Episode 77: Black 54, Red 10
Episode 78: Black 46, Red 18
Episode 79: Black 42, Red 22
Episode 80: Black 42, Red 22
Episode 81: Black 50, Red 14
Episode 82: Black 47, Red 17
Episode 83: Black 44, Red 20
Episode 84: Black 47, Red 17
Episode 85: Black 44, Red 20
Episode 86: Black 34, Red 0
Episode 87: Black 45, Red 19
Episode 88: Black 48, Red 16
Episode 89: Black 42, Red 22
Episode 90: Black 43, Red 21
Episode 91: Black 44, Red 20
Episode 92: Black 44, Red 20
Episode 93: Black 32, Red 32
Episode 94: Black 45, Red 19
Episode 95: Black 46, Red 18
Episode 96: Black 45, Red 19
Episode 97: Black 45, Red 19
Episode 98: Black 30, Red 34
Episode 99: Black 38, Red 26
Episode 100: Black 52, Red 12
Episode 101: Black 0, Red 43
Episode 102: Black 48, Red 16
Episode 103: Black 47, Red 17
Episode 104: Black 37, Red 27
Episode 105: Black 51, Red 13
Episode 106: Black 27, Red 37
Episode 107: Black 48, Red 16
Episode 108: Black 36, Red 28
Episode 109: Black 43, Red 21
Episode 110: Black 46, Red 18
Episode 111: Black 31, Red 33
Episode 112: Black 44, Red 20
Episode 113: Black 45, Red 19
Episode 114: Black 47, Red 17
Episode 115: Black 28, Red 36
Model saved to rl_agent/models/oppGreedyGreta_115Episodes.pth
Testing trained agent vs GreedyGreta...
Test results over 48 games: Wins: 48, Losses: 0, Draws: 0
