Loaded existing model from rl_agent/models/oppGreedyGreta_115Episodes.pth
/home/jonas-petersen/dev/Othello_with_RL/rl_agent/rl_agent.py:63: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss = F.mse_loss(q_vals[0, action_idx], torch.tensor(target_q, dtype=torch.float32, device=self.device))
Episode 1: Black 48, Red 16
/home/jonas-petersen/dev/Othello_with_RL/rl_agent/rl_agent.py:63: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss = F.mse_loss(q_vals[0, action_idx], torch.tensor(target_q, dtype=torch.float32, device=self.device))
Episode 2: Black 40, Red 24
Episode 3: Black 33, Red 31
Episode 4: Black 50, Red 14
Episode 5: Black 42, Red 22
Episode 6: Black 15, Red 49
Episode 7: Black 53, Red 10
Episode 8: Black 39, Red 25
Episode 9: Black 35, Red 29
Episode 10: Black 40, Red 24
Episode 11: Black 52, Red 12
Episode 12: Black 43, Red 21
Episode 13: Black 40, Red 24
Episode 14: Black 36, Red 28
Episode 15: Black 41, Red 23
Episode 16: Black 47, Red 17
Episode 17: Black 26, Red 38
Episode 18: Black 46, Red 18
Episode 19: Black 43, Red 21
Episode 20: Black 44, Red 20
Episode 21: Black 42, Red 22
Episode 22: Black 45, Red 19
Episode 23: Black 43, Red 0
Episode 24: Black 42, Red 22
Episode 25: Black 51, Red 13
Episode 26: Black 42, Red 22
Episode 27: Black 42, Red 22
Episode 28: Black 37, Red 27
Episode 29: Black 44, Red 20
Episode 30: Black 42, Red 22
Episode 31: Black 43, Red 21
Episode 32: Black 39, Red 25
Episode 33: Black 62, Red 2
Episode 34: Black 47, Red 17
Episode 35: Black 42, Red 22
Episode 36: Black 45, Red 19
Episode 37: Black 41, Red 23
Episode 38: Black 44, Red 20
Episode 39: Black 38, Red 26
Episode 40: Black 46, Red 18
Episode 41: Black 41, Red 23
Episode 42: Black 50, Red 14
Episode 43: Black 45, Red 19
Episode 44: Black 51, Red 13
Episode 45: Black 44, Red 20
Episode 46: Black 44, Red 20
Episode 47: Black 35, Red 29
Episode 48: Black 45, Red 19
Episode 49: Black 37, Red 27
Episode 50: Black 51, Red 13
Episode 51: Black 47, Red 17
Episode 52: Black 52, Red 12
Episode 53: Black 46, Red 18
Episode 54: Black 41, Red 23
Episode 55: Black 51, Red 13
Episode 56: Black 39, Red 25
Episode 57: Black 0, Red 45
Episode 58: Black 42, Red 22
Episode 59: Black 42, Red 22
Episode 60: Black 38, Red 26
Episode 61: Black 38, Red 26
Episode 62: Black 52, Red 12
Episode 63: Black 42, Red 22
Episode 64: Black 41, Red 23
Episode 65: Black 32, Red 32
Episode 66: Black 33, Red 31
Episode 67: Black 23, Red 41
Episode 68: Black 41, Red 23
Episode 69: Black 40, Red 24
Episode 70: Black 49, Red 15
Episode 71: Black 37, Red 27
Episode 72: Black 22, Red 42
Episode 73: Black 45, Red 19
Episode 74: Black 41, Red 23
Episode 75: Black 49, Red 15
Episode 76: Black 43, Red 21
Episode 77: Black 53, Red 11
Episode 78: Black 31, Red 33
Episode 79: Black 48, Red 16
Episode 80: Black 44, Red 20
Episode 81: Black 47, Red 17
Episode 82: Black 47, Red 17
Episode 83: Black 40, Red 24
Episode 84: Black 44, Red 20
Episode 85: Black 54, Red 10
Episode 86: Black 43, Red 21
Episode 87: Black 38, Red 26
Episode 88: Black 41, Red 23
Episode 89: Black 47, Red 0
Episode 90: Black 53, Red 11
Episode 91: Black 51, Red 13
Episode 92: Black 40, Red 24
Episode 93: Black 38, Red 26
Episode 94: Black 32, Red 32
Episode 95: Black 36, Red 27
Episode 96: Black 41, Red 23
Episode 97: Black 39, Red 25
Episode 98: Black 43, Red 21
Episode 99: Black 43, Red 21
Episode 100: Black 39, Red 25
Episode 101: Black 40, Red 24
Episode 102: Black 52, Red 12
Episode 103: Black 22, Red 42
Episode 104: Black 39, Red 25
Episode 105: Black 54, Red 10
Episode 106: Black 43, Red 21
Episode 107: Black 51, Red 13
Episode 108: Black 46, Red 18
Episode 109: Black 43, Red 21
Episode 110: Black 39, Red 25
Episode 111: Black 41, Red 23
Episode 112: Black 21, Red 43
Episode 113: Black 46, Red 18
Episode 114: Black 49, Red 15
Episode 115: Black 36, Red 28
Model saved to rl_agent/models/oppGreedyGreta_115Episodes.pth
Testing trained agent vs GreedyGreta...
Test results over 48 games: Wins: 48, Losses: 0, Draws: 0
