/home/jonas-petersen/dev/Othello_with_RL/rl_agent/rl_agent.py:63: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss = F.mse_loss(q_vals[0, action_idx], torch.tensor(target_q, dtype=torch.float32, device=self.device))
Episode 1: Black 28, Red 36
/home/jonas-petersen/dev/Othello_with_RL/rl_agent/rl_agent.py:63: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss = F.mse_loss(q_vals[0, action_idx], torch.tensor(target_q, dtype=torch.float32, device=self.device))
Episode 2: Black 34, Red 30
Episode 3: Black 13, Red 51
Episode 4: Black 17, Red 47
Episode 5: Black 16, Red 48
Episode 6: Black 33, Red 31
Episode 7: Black 13, Red 51
Episode 8: Black 20, Red 44
Episode 9: Black 38, Red 26
Episode 10: Black 44, Red 20
Episode 11: Black 3, Red 56
Episode 12: Black 1, Red 62
Episode 13: Black 22, Red 42
Episode 14: Black 40, Red 24
Episode 15: Black 24, Red 40
Episode 16: Black 23, Red 41
Episode 17: Black 19, Red 45
Episode 18: Black 17, Red 47
Episode 19: Black 26, Red 38
Episode 20: Black 47, Red 17
Episode 21: Black 13, Red 51
Episode 22: Black 16, Red 48
Episode 23: Black 12, Red 52
Episode 24: Black 8, Red 56
Episode 25: Black 5, Red 57
Episode 26: Black 40, Red 24
Episode 27: Black 22, Red 42
Episode 28: Black 32, Red 32
Episode 29: Black 24, Red 40
Episode 30: Black 16, Red 48
Episode 31: Black 15, Red 49
Episode 32: Black 15, Red 49
Episode 33: Black 16, Red 48
Episode 34: Black 31, Red 33
Episode 35: Black 24, Red 40
Episode 36: Black 19, Red 45
Episode 37: Black 25, Red 39
Episode 38: Black 13, Red 51
Episode 39: Black 16, Red 48
Episode 40: Black 17, Red 47
Episode 41: Black 23, Red 41
Episode 42: Black 17, Red 47
Episode 43: Black 29, Red 35
Episode 44: Black 48, Red 16
Episode 45: Black 15, Red 49
Episode 46: Black 11, Red 53
Episode 47: Black 17, Red 47
Episode 48: Black 20, Red 44
Episode 49: Black 13, Red 51
Episode 50: Black 22, Red 42
Episode 51: Black 16, Red 48
Episode 52: Black 6, Red 58
Episode 53: Black 14, Red 50
Episode 54: Black 48, Red 15
Episode 55: Black 37, Red 27
Episode 56: Black 24, Red 40
Episode 57: Black 15, Red 49
Episode 58: Black 21, Red 43
Episode 59: Black 10, Red 54
Episode 60: Black 9, Red 55
Episode 61: Black 11, Red 53
Episode 62: Black 15, Red 49
Episode 63: Black 15, Red 49
Episode 64: Black 27, Red 37
Episode 65: Black 22, Red 42
Episode 66: Black 22, Red 42
Episode 67: Black 21, Red 43
Episode 68: Black 40, Red 24
Episode 69: Black 28, Red 36
Episode 70: Black 20, Red 44
Episode 71: Black 9, Red 55
Episode 72: Black 30, Red 34
Episode 73: Black 39, Red 25
Episode 74: Black 17, Red 47
Episode 75: Black 23, Red 41
Episode 76: Black 23, Red 41
Episode 77: Black 16, Red 47
Episode 78: Black 16, Red 48
Episode 79: Black 28, Red 36
Episode 80: Black 18, Red 46
Episode 81: Black 27, Red 37
Episode 82: Black 20, Red 44
Episode 83: Black 17, Red 47
Episode 84: Black 35, Red 29
Episode 85: Black 21, Red 43
Episode 86: Black 17, Red 47
Episode 87: Black 12, Red 51
Episode 88: Black 38, Red 26
Episode 89: Black 29, Red 35
Episode 90: Black 22, Red 42
Episode 91: Black 6, Red 57
Episode 92: Black 21, Red 43
Episode 93: Black 18, Red 46
Episode 94: Black 33, Red 31
Episode 95: Black 8, Red 56
Episode 96: Black 29, Red 35
Episode 97: Black 14, Red 50
Episode 98: Black 0, Red 41
Episode 99: Black 29, Red 35
Episode 100: Black 18, Red 46
Episode 101: Black 14, Red 50
Episode 102: Black 14, Red 50
Episode 103: Black 15, Red 49
Episode 104: Black 22, Red 42
Episode 105: Black 3, Red 59
Episode 106: Black 25, Red 39
Episode 107: Black 15, Red 49
Episode 108: Black 27, Red 37
Episode 109: Black 13, Red 51
Episode 110: Black 18, Red 46
Episode 111: Black 21, Red 43
Episode 112: Black 18, Red 46
Episode 113: Black 14, Red 50
Episode 114: Black 31, Red 33
Episode 115: Black 32, Red 32
Model saved to rl_agent/models/oppGreedyGreta_115Episodes_cuda_20250615_115Episodes.pth
Metadata saved to rl_agent/models/oppGreedyGreta_115Episodes_cuda_20250615_115Episodes.meta.json
Testing trained agent vs GreedyGreta...
Test results over 48 games: Wins: 0, Losses: 48, Draws: 0
