/home/jonas-petersen/dev/Othello_with_RL/rl_agent/rl_agent.py:63: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss = F.mse_loss(q_vals[0, action_idx], torch.tensor(target_q, dtype=torch.float32, device=self.device))
Episode 1: Black 25, Red 39
/home/jonas-petersen/dev/Othello_with_RL/rl_agent/rl_agent.py:63: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss = F.mse_loss(q_vals[0, action_idx], torch.tensor(target_q, dtype=torch.float32, device=self.device))
Episode 2: Black 37, Red 27
Episode 3: Black 7, Red 57
Episode 4: Black 27, Red 37
Episode 5: Black 25, Red 39
Episode 6: Black 6, Red 58
Episode 7: Black 5, Red 59
Episode 8: Black 11, Red 53
Episode 9: Black 13, Red 51
Episode 10: Black 6, Red 58
Episode 11: Black 6, Red 58
Episode 12: Black 14, Red 50
Episode 13: Black 14, Red 50
Episode 14: Black 24, Red 40
Episode 15: Black 22, Red 42
Episode 16: Black 31, Red 33
Episode 17: Black 19, Red 45
Episode 18: Black 20, Red 44
Episode 19: Black 31, Red 33
Episode 20: Black 19, Red 45
Episode 21: Black 16, Red 48
Episode 22: Black 27, Red 37
Episode 23: Black 19, Red 45
Episode 24: Black 27, Red 37
Episode 25: Black 11, Red 53
Episode 26: Black 17, Red 47
Episode 27: Black 16, Red 48
Episode 28: Black 17, Red 47
Episode 29: Black 18, Red 46
Episode 30: Black 25, Red 39
Episode 31: Black 1, Red 55
Episode 32: Black 10, Red 54
Episode 33: Black 18, Red 46
Episode 34: Black 14, Red 50
Episode 35: Black 0, Red 48
Episode 36: Black 17, Red 47
Episode 37: Black 29, Red 35
Episode 38: Black 19, Red 45
Episode 39: Black 20, Red 44
Episode 40: Black 27, Red 37
Episode 41: Black 24, Red 40
Episode 42: Black 3, Red 61
Episode 43: Black 13, Red 51
Episode 44: Black 40, Red 24
Episode 45: Black 13, Red 50
Episode 46: Black 18, Red 46
Episode 47: Black 0, Red 27
Episode 48: Black 30, Red 34
Episode 49: Black 19, Red 45
Episode 50: Black 15, Red 49
Episode 51: Black 10, Red 54
Episode 52: Black 9, Red 55
Episode 53: Black 30, Red 34
Episode 54: Black 24, Red 40
Episode 55: Black 0, Red 14
Episode 56: Black 23, Red 41
Episode 57: Black 26, Red 38
Episode 58: Black 3, Red 60
Episode 59: Black 13, Red 51
Episode 60: Black 18, Red 46
Episode 61: Black 4, Red 58
Episode 62: Black 13, Red 51
Episode 63: Black 20, Red 44
Episode 64: Black 26, Red 38
Episode 65: Black 15, Red 49
Episode 66: Black 5, Red 59
Episode 67: Black 14, Red 50
Episode 68: Black 26, Red 38
Episode 69: Black 32, Red 32
Episode 70: Black 24, Red 40
Episode 71: Black 13, Red 51
Episode 72: Black 15, Red 49
Episode 73: Black 20, Red 44
Episode 74: Black 25, Red 39
Episode 75: Black 26, Red 38
Episode 76: Black 31, Red 33
Episode 77: Black 41, Red 23
Episode 78: Black 21, Red 43
Episode 79: Black 23, Red 41
Episode 80: Black 0, Red 24
Episode 81: Black 24, Red 40
Episode 82: Black 28, Red 36
Episode 83: Black 20, Red 44
Episode 84: Black 21, Red 43
Episode 85: Black 5, Red 58
Episode 86: Black 24, Red 40
Episode 87: Black 30, Red 34
Episode 88: Black 18, Red 46
Episode 89: Black 13, Red 51
Episode 90: Black 25, Red 39
Episode 91: Black 25, Red 39
Episode 92: Black 16, Red 48
Episode 93: Black 18, Red 46
Episode 94: Black 30, Red 34
Episode 95: Black 7, Red 57
Episode 96: Black 23, Red 41
Episode 97: Black 18, Red 46
Episode 98: Black 26, Red 38
Episode 99: Black 11, Red 53
Episode 100: Black 22, Red 42
Model saved to rl_agent/models/oppMinimaxMax_100Episodes_cuda_20250615_100Episodes.pth
Metadata saved to rl_agent/models/oppMinimaxMax_100Episodes_cuda_20250615_100Episodes.meta.json
Testing trained agent vs GreedyGreta...
Test results over 48 games: Wins: 0, Losses: 48, Draws: 0
