/home/jonas-petersen/dev/Othello_with_RL/rl_agent/rl_agent.py:63: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss = F.mse_loss(q_vals[0, action_idx], torch.tensor(target_q, dtype=torch.float32, device=self.device))
Episode 1: Black 8, Red 56
/home/jonas-petersen/dev/Othello_with_RL/rl_agent/rl_agent.py:63: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss = F.mse_loss(q_vals[0, action_idx], torch.tensor(target_q, dtype=torch.float32, device=self.device))
Episode 2: Black 19, Red 45
Episode 3: Black 0, Red 58
Episode 4: Black 32, Red 32
Episode 5: Black 23, Red 41
Episode 6: Black 15, Red 49
Episode 7: Black 23, Red 41
Episode 8: Black 13, Red 51
Episode 9: Black 28, Red 36
Episode 10: Black 24, Red 40
Episode 11: Black 22, Red 42
Episode 12: Black 16, Red 48
Episode 13: Black 0, Red 55
Episode 14: Black 24, Red 40
Episode 15: Black 17, Red 47
Episode 16: Black 20, Red 44
Episode 17: Black 2, Red 54
Episode 18: Black 11, Red 53
Episode 19: Black 28, Red 36
Episode 20: Black 18, Red 46
Episode 21: Black 21, Red 43
Episode 22: Black 13, Red 51
Episode 23: Black 20, Red 44
Episode 24: Black 18, Red 46
Episode 25: Black 22, Red 42
Episode 26: Black 19, Red 45
Episode 27: Black 18, Red 46
Episode 28: Black 24, Red 40
Episode 29: Black 27, Red 37
Episode 30: Black 6, Red 56
Episode 31: Black 12, Red 52
Episode 32: Black 11, Red 53
Episode 33: Black 21, Red 43
Episode 34: Black 20, Red 43
Episode 35: Black 10, Red 54
Episode 36: Black 27, Red 37
Episode 37: Black 9, Red 55
Episode 38: Black 19, Red 45
Episode 39: Black 16, Red 48
Episode 40: Black 17, Red 47
Episode 41: Black 6, Red 58
Episode 42: Black 12, Red 52
Episode 43: Black 37, Red 27
Episode 44: Black 8, Red 56
Episode 45: Black 29, Red 35
Episode 46: Black 6, Red 58
Episode 47: Black 32, Red 32
Episode 48: Black 29, Red 35
Episode 49: Black 25, Red 39
Episode 50: Black 40, Red 24
Episode 51: Black 22, Red 42
